"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-09","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-10","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-11","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-12","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-13","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-14","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-15","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-16","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-17","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-18",,"87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-19","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-20","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-21","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-22","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-24",,"87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-25","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-26","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-27","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-28","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-29","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-30","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-31","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-01","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-02","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-03","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-04","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-05","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-06","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-07","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-08","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-09","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-10","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-11","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-12","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-14","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-15","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-16","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-18","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-19","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-20","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-21","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-22","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-23","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-24","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-25","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-26","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-27","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-29","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-30","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-08-31","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-01","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-02","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-03","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-04","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-05","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-06","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-08","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-09","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-10","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-12","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-13","0.00","80",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-15",,"85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-17","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-18","0.00","84",,
